politician_id,bill_id,vote,vote_date
41,1,a,2012
41,2,,2012
41,3,a,2014
41,4,y,2014
42,1,a,2012
42,2,,2012
42,3,a,2014
42,4,n,2014
43,1,a,2012
43,2,,2012
43,3,a,2014
43,4,n,2014
44,1,a,2012
44,2,,2012
44,3,n,2014
44,4,y,2014
45,1,a,2012
45,2,,2012
45,3,n,2014
45,4,a,2014
46,1,a,2012
46,2,,2012
46,3,n,2014
46,4,y,2014
12,1,a,2012
12,2,y,2012
12,3,a,2014
12,4,y,2014
13,1,a,2012
13,2,a,2012
13,3,a,2014
13,4,n,2014
14,1,a,2012
14,2,a,2012
14,3,a,2014
14,4,y,2014
15,1,a,2012
15,2,a,2012
15,3,a,2014
15,4,,2014
